"Order ID","Product ID","Location ID","Sales Person ID","Customer ID","Purchase Date","Quantity","Price"
"AX10187","ENX2100","A126","EMP1002","C1757","6/12/2019","3","799"
"AX10195","ENX2085","A156","EMP1025","C1694","10/17/2019","4","1862"
"AX10197","ENX2067","A134","EMP1002","C1717","5/11/2019","1","1119"
"AX10198","ENX2072","A136","EMP1006","C1584","4/16/2019","1","1887"
"AX10200","ENX2034","A124","EMP1012","C1098","4/21/2019","1","871"
"AX10204","ENX2018","A112","EMP1030","C1214","10/9/2019","1","1972"
"AX10211","ENX2023","A155","EMP1005","C1277","1/11/2019","1","818"
"AX10214","ENX2068","A149","EMP1044","C1274","9/9/2019","1","1500"
"AX10217","ENX2030","A102","EMP1021","C1174","2/10/2019","1","1899"
"AX10220","ENX2053","A158","EMP1033","C1150","8/2/2019","1","596"
"AX10225","ENX2048","A118","EMP1043","C1776","2/15/2019","2","502"
"AX10227","ENX2069","A103","EMP1024","C1768","1/14/2019","2","378"
"AX10228","ENX2075","A135","EMP1001","C1314","5/26/2019","2","400"
"AX10234","ENX2096","A168","EMP1022","C1490","12/16/2019","1","1587"
"AX10237","ENX2080","A140","EMP1017","C1578","7/16/2019","1","2353"
"AX10239","ENX2046","A146","EMP1030","C1028","6/23/2019","1","2410"
"AX10240","ENX2012","A130","EMP1010","C1670","4/27/2019","1","1353"
"AX10244","ENX2072","A168","EMP1002","C1702","10/3/2019","1","1887"
"AX10250","ENX2075","A135","EMP1003","C1274","9/20/2019","2","400"
"AX10251","ENX2040","A116","EMP1012","C1631","6/13/2019","3","1889"
"AX10252","ENX2091","A173","EMP1031","C1602","2/2/2019","4","368"
"AX10253","ENX2075","A109","EMP1005","C1514","8/20/2019","3","400"
"AX10255","ENX2064","A102","EMP1036","C1184","10/9/2019","2","1414"
"AX10257","ENX2001","A140","EMP1036","C1082","6/24/2019","1","951"
"AX10258","ENX2043","A168","EMP1009","C1273","9/13/2019","4","545"
"AX10260","ENX2027","A130","EMP1033","C1028","12/6/2019","3","2497"
"AX10263","ENX2070","A162","EMP1042","C1758","10/2/2019","1","1671"
"AX10265","ENX2074","A149","EMP1003","C1096","3/9/2019","2","504"
"AX10267","ENX2036","A173","EMP1000","C1773","11/16/2019","2","1582"
"AX10269","ENX2095","A136","EMP1012","C1506","10/15/2019","4","1743"
"AX10270","ENX2012","A130","EMP1002","C1003","4/14/2019","1","1353"
"AX10273","ENX2010","A113","EMP1030","C1666","7/14/2019","1","1812"
"AX10277","ENX2096","A140","EMP1035","C1061","4/7/2019","1","1587"
"AX10285","ENX2050","A145","EMP1030","C1743","7/26/2019","1","2391"
"AX10287","ENX2052","A136","EMP1020","C1392","5/9/2019","1","1526"
"AX10288","ENX2097","A150","EMP1044","C1459","5/14/2019","1","1052"
"AX10289","ENX2056","A165","EMP1044","C1523","11/27/2019","1","1635"
"AX10293","ENX2069","A122","EMP1038","C1254","6/22/2019","1","378"
"AX10296","ENX2070","A139","EMP1041","C1152","5/26/2019","3","1671"
"AX10298","ENX2015","A116","EMP1020","C1250","3/2/2019","1","637"
"AX10300","ENX2032","A126","EMP1043","C1376","12/2/2019","1","1967"
"AX10309","ENX2068","A157","EMP1008","C1755","6/14/2019","1","1500"
"AX10310","ENX2091","A111","EMP1011","C1198","8/28/2019","2","368"
"AX10311","ENX2088","A159","EMP1010","C1727","1/23/2019","3","603"
"AX10312","ENX2042","A114","EMP1010","C1515","6/20/2019","3","203"
"AX10315","ENX2080","A104","EMP1018","C1425","4/30/2019","2","2353"
"AX10327","ENX2050","A112","EMP1039","C1773","9/16/2019","4","2391"
"AX10329","ENX2090","A152","EMP1043","C1388","2/10/2019","2","1338"
"AX10330","ENX2037","A139","EMP1008","C1635","12/16/2019","3","880"
"AX10332","ENX2077","A116","EMP1032","C1325","3/14/2019","3","530"
"AX10342","ENX2094","A106","EMP1013","C1213","5/1/2019","1","771"
"AX10344","ENX2033","A146","EMP1005","C1492","10/19/2019","1","2182"
"AX10354","ENX2070","A159","EMP1022","C1392","6/28/2019","3","1671"
"AX10357","ENX2074","A154","EMP1043","C1798","1/26/2019","4","504"
"AX10361","ENX2034","A132","EMP1024","C1020","7/25/2019","1","871"
"AX10366","ENX2059","A107","EMP1006","C1107","10/24/2019","3","1494"
"AX10368","ENX2024","A105","EMP1037","C1784","7/26/2019","1","356"
"AX10371","ENX2099","A170","EMP1037","C1672","10/1/2019","1","1367"
"AX10374","ENX2091","A171","EMP1043","C1090","1/17/2019","3","368"
"AX10375","ENX2058","A116","EMP1023","C1503","1/19/2019","1","2257"
"AX10376","ENX2024","A128","EMP1002","C1426","1/15/2019","4","356"
"AX10379","ENX2044","A137","EMP1032","C1338","12/28/2019","1","886"
"AX10382","ENX2038","A171","EMP1005","C1450","8/2/2019","3","392"
"AX10386","ENX2058","A167","EMP1024","C1141","11/27/2019","3","2257"
"AX10388","ENX2007","A148","EMP1015","C1402","4/28/2019","1","1405"
"AX10389","ENX2090","A132","EMP1036","C1620","11/16/2019","2","1338"
"AX10391","ENX2065","A104","EMP1004","C1595","12/28/2019","1","2396"
"AX10392","ENX2090","A155","EMP1038","C1084","10/2/2019","1","1338"
"AX10393","ENX2023","A151","EMP1020","C1543","10/30/2019","1","818"
"AX10394","ENX2095","A136","EMP1001","C1736","6/18/2019","1","1743"
"AX10397","ENX2049","A124","EMP1036","C1082","2/26/2019","2","826"
"AX10398","ENX2077","A158","EMP1009","C1103","9/26/2019","4","530"
"AX10402","ENX2032","A159","EMP1044","C1237","9/10/2019","3","1967"
"AX10404","ENX2015","A171","EMP1044","C1015","9/3/2019","1","637"
"AX10406","ENX2010","A149","EMP1023","C1054","5/17/2019","3","1812"
"AX10412","ENX2047","A130","EMP1002","C1666","10/12/2019","1","290"
"AX10415","ENX2029","A159","EMP1006","C1625","9/15/2019","1","1848"
"AX10418","ENX2083","A129","EMP1040","C1787","6/7/2019","3","2141"
"AX10422","ENX2015","A137","EMP1006","C1514","12/6/2019","1","637"
"AX10424","ENX2019","A107","EMP1021","C1151","11/7/2019","2","800"
"AX10437","ENX2056","A127","EMP1038","C1654","7/15/2019","3","1635"
"AX10446","ENX2042","A145","EMP1035","C1610","1/25/2019","4","203"
"AX10448","ENX2005","A128","EMP1028","C1208","12/1/2019","2","684"
"AX10450","ENX2020","A163","EMP1013","C1553","6/23/2019","1","2005"
"AX10451","ENX2097","A143","EMP1021","C1299","3/1/2019","1","1052"
"AX10453","ENX2100","A138","EMP1028","C1589","12/7/2019","1","799"
"AX10458","ENX2026","A119","EMP1013","C1648","4/27/2019","4","947"
"AX10459","ENX2017","A119","EMP1025","C1571","7/3/2019","2","35"
"AX10471","ENX2081","A152","EMP1000","C1024","8/7/2019","2","1566"
"AX10483","ENX2022","A123","EMP1034","C1562","4/25/2019","4","561"
"AX10489","ENX2067","A117","EMP1002","C1306","5/9/2019","1","1119"
"AX10493","ENX2001","A108","EMP1021","C1083","2/16/2019","1","951"
"AX10494","ENX2029","A172","EMP1019","C1726","10/30/2019","1","1848"
"AX10500","ENX2051","A118","EMP1044","C1673","7/26/2019","3","1077"
"AX10502","ENX2086","A163","EMP1019","C1317","1/5/2019","2","123"
"AX10504","ENX2054","A132","EMP1039","C1234","2/22/2019","1","127"
"AX10505","ENX2041","A156","EMP1002","C1455","1/9/2019","4","1380"
"AX10506","ENX2007","A118","EMP1009","C1715","7/1/2019","1","1405"
"AX10518","ENX2028","A105","EMP1007","C1236","12/8/2019","3","2283"
"AX10523","ENX2056","A166","EMP1033","C1710","6/24/2019","3","1635"
"AX10526","ENX2040","A170","EMP1005","C1295","12/24/2019","1","1889"
"AX10531","ENX2060","A136","EMP1011","C1683","1/7/2019","1","1467"
"AX10534","ENX2077","A161","EMP1017","C1479","6/15/2019","1","530"
"AX10536","ENX2043","A114","EMP1000","C1730","12/7/2019","1","545"
"AX10540","ENX2024","A111","EMP1000","C1382","11/2/2019","1","356"
"AX10543","ENX2034","A115","EMP1038","C1786","1/10/2019","1","871"
"AX10544","ENX2069","A151","EMP1044","C1640","12/7/2019","1","378"
"AX10548","ENX2048","A173","EMP1007","C1154","3/23/2019","3","502"
"AX10549","ENX2020","A134","EMP1011","C1231","1/9/2019","1","2005"
"AX10551","ENX2091","A131","EMP1012","C1769","7/21/2019","1","368"
"AX10555","ENX2066","A160","EMP1015","C1280","5/10/2019","2","2091"
"AX10556","ENX2097","A113","EMP1017","C1010","3/24/2019","1","1052"
"AX10558","ENX2096","A100","EMP1018","C1720","6/18/2019","3","1587"
"AX10560","ENX2029","A127","EMP1023","C1334","2/21/2019","3","1848"
"AX10561","ENX2058","A113","EMP1014","C1431","2/17/2019","2","2257"
"AX10562","ENX2081","A172","EMP1011","C1364","7/6/2019","1","1566"
"AX10563","ENX2004","A164","EMP1025","C1045","1/7/2019","1","1278"
"AX10565","ENX2056","A153","EMP1018","C1357","7/4/2019","2","1635"
"AX10567","ENX2041","A119","EMP1033","C1775","3/13/2019","1","1380"
"AX10568","ENX2051","A102","EMP1017","C1532","2/2/2019","1","1077"
"AX10570","ENX2045","A157","EMP1000","C1124","3/17/2019","1","556"
"AX10571","ENX2032","A158","EMP1012","C1395","5/29/2019","1","1967"
"AX10575","ENX2077","A133","EMP1018","C1152","4/30/2019","1","530"
"AX10579","ENX2042","A141","EMP1020","C1368","6/11/2019","2","203"
"AX10582","ENX2070","A126","EMP1024","C1239","2/25/2019","2","1671"
"AX10584","ENX2019","A142","EMP1039","C1682","10/19/2019","1","800"
"AX10590","ENX2022","A139","EMP1027","C1625","9/22/2019","4","561"
"AX10593","ENX2093","A142","EMP1022","C1559","10/14/2019","1","112"
"AX10596","ENX2072","A103","EMP1023","C1317","10/11/2019","1","1887"
"AX10598","ENX2078","A140","EMP1023","C1663","3/21/2019","2","1798"
"AX10605","ENX2035","A130","EMP1037","C1767","11/2/2019","1","458"
"AX10608","ENX2020","A173","EMP1001","C1720","7/30/2019","4","2005"
"AX10610","ENX2063","A112","EMP1031","C1079","4/7/2019","1","1708"
"AX10611","ENX2014","A151","EMP1007","C1126","6/6/2019","1","1809"
"AX10612","ENX2006","A101","EMP1017","C1181","6/13/2019","1","1826"
"AX10615","ENX2064","A151","EMP1038","C1190","4/15/2019","3","1414"
"AX10617","ENX2018","A108","EMP1023","C1446","10/5/2019","1","1972"
"AX10619","ENX2098","A121","EMP1038","C1247","4/20/2019","2","1178"
"AX10620","ENX2077","A129","EMP1016","C1798","12/28/2019","1","530"
"AX10621","ENX2038","A141","EMP1040","C1390","6/2/2019","1","392"
"AX10624","ENX2068","A121","EMP1021","C1659","4/30/2019","2","1500"
"AX10627","ENX2090","A122","EMP1038","C1092","12/20/2019","4","1338"
"AX10630","ENX2042","A162","EMP1011","C1335","2/21/2019","3","203"
"AX10631","ENX2077","A130","EMP1019","C1780","10/7/2019","1","530"
"AX10632","ENX2036","A153","EMP1043","C1559","2/21/2019","4","1582"
"AX10633","ENX2041","A148","EMP1031","C1038","3/16/2019","3","1380"
"AX10635","ENX2044","A130","EMP1036","C1386","8/20/2019","3","886"
"AX10640","ENX2008","A116","EMP1000","C1692","12/6/2019","3","315"
"AX10648","ENX2017","A166","EMP1005","C1171","12/16/2019","1","35"
"AX10651","ENX2049","A149","EMP1002","C1095","1/26/2019","4","826"
"AX10652","ENX2045","A165","EMP1015","C1701","5/8/2019","3","556"
"AX10653","ENX2060","A120","EMP1006","C1746","2/4/2019","1","1467"
"AX10655","ENX2032","A101","EMP1040","C1532","10/18/2019","2","1967"
"AX10656","ENX2013","A121","EMP1002","C1272","10/22/2019","1","368"
"AX10662","ENX2055","A144","EMP1005","C1295","8/19/2019","2","2495"
"AX10663","ENX2061","A119","EMP1041","C1528","1/11/2019","1","913"
"AX10665","ENX2091","A137","EMP1034","C1655","11/29/2019","3","368"
"AX10667","ENX2060","A163","EMP1035","C1640","12/20/2019","1","1467"
"AX10668","ENX2060","A106","EMP1013","C1665","11/16/2019","3","1467"
"AX10671","ENX2069","A130","EMP1027","C1075","5/11/2019","1","378"
"AX10673","ENX2026","A105","EMP1025","C1611","12/26/2019","2","947"
"AX10674","ENX2055","A133","EMP1029","C1414","10/26/2019","2","2495"
"AX10675","ENX2051","A151","EMP1007","C1525","5/10/2019","3","1077"
"AX10677","ENX2028","A136","EMP1018","C1024","1/29/2019","1","2283"
"AX10681","ENX2052","A143","EMP1021","C1560","8/2/2019","4","1526"
"AX10689","ENX2019","A120","EMP1016","C1728","12/20/2019","4","800"
"AX10691","ENX2009","A101","EMP1019","C1333","4/18/2019","2","584"
"AX10694","ENX2044","A111","EMP1018","C1766","5/1/2019","1","886"
"AX10695","ENX2042","A131","EMP1016","C1541","11/13/2019","1","203"
"AX10696","ENX2033","A140","EMP1039","C1514","4/10/2019","1","2182"
"AX10699","ENX2004","A103","EMP1035","C1698","3/15/2019","2","1278"
"AX10701","ENX2004","A130","EMP1035","C1508","5/27/2019","4","1278"
"AX10705","ENX2083","A144","EMP1020","C1576","7/9/2019","1","2141"
"AX10711","ENX2046","A167","EMP1015","C1611","12/17/2019","1","2410"
"AX10712","ENX2035","A156","EMP1034","C1440","6/12/2019","1","458"
"AX10716","ENX2054","A112","EMP1016","C1450","1/1/2019","2","127"
"AX10723","ENX2097","A125","EMP1015","C1139","12/25/2019","2","1052"
"AX10724","ENX2033","A150","EMP1017","C1500","1/13/2019","3","2182"
"AX10725","ENX2065","A158","EMP1039","C1346","1/30/2019","4","2396"
"AX10727","ENX2037","A158","EMP1041","C1143","10/9/2019","3","880"
"AX10729","ENX2021","A115","EMP1034","C1148","11/21/2019","2","217"
"AX10730","ENX2021","A144","EMP1008","C1414","11/28/2019","3","217"
"AX10731","ENX2042","A167","EMP1020","C1285","12/7/2019","3","203"
"AX10737","ENX2007","A100","EMP1017","C1626","1/22/2019","2","1405"
"AX10741","ENX2040","A121","EMP1009","C1573","10/9/2019","1","1889"
"AX10745","ENX2090","A159","EMP1041","C1438","4/18/2019","4","1338"
"AX10747","ENX2039","A104","EMP1020","C1592","12/1/2019","1","817"
"AX10748","ENX2000","A141","EMP1022","C1346","12/1/2019","4","2241"
"AX10757","ENX2057","A130","EMP1000","C1042","1/6/2019","2","181"
"AX10760","ENX2070","A156","EMP1015","C1599","5/10/2019","2","1671"
"AX10765","ENX2027","A158","EMP1011","C1239","8/16/2019","1","2497"
"AX10766","ENX2068","A153","EMP1019","C1599","5/23/2019","3","1500"
"AX10769","ENX2043","A154","EMP1035","C1285","1/22/2019","1","545"
"AX10777","ENX2088","A160","EMP1009","C1200","1/28/2019","1","603"
"AX10780","ENX2046","A116","EMP1019","C1290","2/22/2019","4","2410"
"AX10786","ENX2005","A152","EMP1015","C1701","1/6/2019","1","684"
"AX10789","ENX2037","A157","EMP1005","C1476","11/8/2019","1","880"
"AX10791","ENX2030","A122","EMP1001","C1215","12/3/2019","3","1899"
"AX10792","ENX2097","A161","EMP1010","C1251","2/25/2019","1","1052"
"AX10794","ENX2065","A166","EMP1043","C1760","8/5/2019","2","2396"
"AX10798","ENX2072","A126","EMP1011","C1713","7/25/2019","4","1887"
"AX10800","ENX2099","A115","EMP1025","C1082","9/22/2019","2","1367"
"AX10803","ENX2032","A142","EMP1003","C1357","3/24/2019","4","1967"
"AX10810","ENX2058","A147","EMP1027","C1704","3/15/2019","4","2257"
"AX10811","ENX2100","A131","EMP1003","C1569","7/6/2019","1","799"
"AX10812","ENX2094","A113","EMP1007","C1307","10/24/2019","3","771"
"AX10817","ENX2063","A172","EMP1043","C1578","6/5/2019","1","1708"
"AX10819","ENX2050","A128","EMP1017","C1600","6/19/2019","1","2391"
"AX10824","ENX2068","A149","EMP1028","C1212","5/23/2019","1","1500"
"AX10825","ENX2011","A102","EMP1030","C1714","6/1/2019","1","530"
"AX10827","ENX2074","A166","EMP1001","C1678","2/16/2019","3","504"
"AX10830","ENX2008","A108","EMP1026","C1395","1/24/2019","4","315"
"AX10833","ENX2006","A131","EMP1026","C1533","9/20/2019","1","1826"
"AX10834","ENX2041","A157","EMP1033","C1711","4/20/2019","4","1380"
"AX10835","ENX2011","A126","EMP1021","C1242","2/7/2019","1","530"
"AX10836","ENX2014","A130","EMP1003","C1200","7/4/2019","3","1809"
"AX10842","ENX2047","A137","EMP1034","C1129","7/17/2019","2","290"
"AX10844","ENX2046","A112","EMP1033","C1422","8/27/2019","1","2410"
"AX10852","ENX2040","A145","EMP1021","C1349","11/3/2019","1","1889"
"AX10856","ENX2036","A123","EMP1001","C1104","2/20/2019","1","1582"
"AX10859","ENX2042","A112","EMP1042","C1435","5/15/2019","1","203"
"AX10862","ENX2005","A136","EMP1031","C1671","3/29/2019","4","684"
"AX10865","ENX2014","A102","EMP1035","C1171","2/14/2019","3","1809"
"AX10866","ENX2076","A123","EMP1004","C1329","6/2/2019","1","1522"
"AX10867","ENX2026","A110","EMP1020","C1189","5/27/2019","1","947"
"AX10868","ENX2013","A124","EMP1041","C1756","10/10/2019","1","368"
"AX10869","ENX2004","A156","EMP1025","C1771","11/11/2019","4","1278"
"AX10871","ENX2085","A171","EMP1038","C1547","6/2/2019","1","1862"
"AX10873","ENX2080","A161","EMP1011","C1283","12/22/2019","3","2353"
"AX10874","ENX2099","A140","EMP1042","C1056","7/28/2019","3","1367"
"AX10877","ENX2063","A166","EMP1022","C1515","3/6/2019","1","1708"
"AX10881","ENX2040","A144","EMP1022","C1536","8/10/2019","3","1889"
"AX10882","ENX2038","A144","EMP1025","C1576","4/4/2019","3","392"
"AX10883","ENX2020","A156","EMP1013","C1224","6/9/2019","2","2005"
"AX10884","ENX2088","A152","EMP1031","C1722","9/19/2019","1","603"
"AX10889","ENX2073","A156","EMP1026","C1164","11/8/2019","1","95"
"AX10896","ENX2022","A141","EMP1025","C1558","3/16/2019","2","561"
"AX10899","ENX2042","A125","EMP1031","C1723","10/21/2019","1","203"
"AX10904","ENX2053","A134","EMP1021","C1721","3/27/2019","1","596"
"AX10905","ENX2013","A102","EMP1016","C1059","9/9/2019","1","368"
"AX10907","ENX2003","A127","EMP1028","C1100","10/9/2019","1","1783"
"AX10908","ENX2080","A110","EMP1026","C1246","2/16/2019","1","2353"
"AX10916","ENX2060","A107","EMP1020","C1748","6/7/2019","2","1467"
"AX10923","ENX2010","A124","EMP1011","C1540","11/2/2019","1","1812"
"AX10927","ENX2022","A103","EMP1010","C1037","5/11/2019","1","561"
"AX10928","ENX2035","A165","EMP1031","C1527","7/11/2019","1","458"
"AX10930","ENX2048","A133","EMP1027","C1605","1/8/2019","1","502"
"AX10931","ENX2023","A154","EMP1036","C1767","12/20/2019","1","818"
"AX10932","ENX2085","A155","EMP1009","C1414","7/5/2019","1","1862"
"AX10934","ENX2013","A115","EMP1034","C1704","8/31/2019","1","368"
"AX10943","ENX2042","A125","EMP1025","C1287","1/22/2019","1","203"
"AX10945","ENX2088","A159","EMP1006","C1782","9/22/2019","1","603"
"AX10950","ENX2053","A146","EMP1000","C1364","11/17/2019","1","596"
"AX10953","ENX2096","A152","EMP1024","C1630","11/28/2019","2","1587"
"AX10957","ENX2057","A104","EMP1039","C1687","7/13/2019","2","181"
"AX10960","ENX2003","A124","EMP1042","C1309","12/20/2019","3","1783"
"AX10961","ENX2036","A147","EMP1023","C1243","6/3/2019","1","1582"
"AX10962","ENX2042","A126","EMP1014","C1111","9/11/2019","4","203"
"AX10966","ENX2043","A115","EMP1019","C1610","3/2/2019","1","545"
"AX10969","ENX2027","A115","EMP1026","C1784","4/27/2019","1","2497"
"AX10981","ENX2050","A118","EMP1019","C1770","11/8/2019","1","2391"
"AX10985","ENX2082","A121","EMP1025","C1454","3/13/2019","2","1103"
"AX10986","ENX2073","A161","EMP1006","C1158","7/11/2019","2","95"
"AX10987","ENX2090","A166","EMP1028","C1664","11/27/2019","1","1338"
"AX10989","ENX2078","A138","EMP1011","C1757","5/9/2019","2","1798"
"AX10990","ENX2067","A128","EMP1024","C1202","3/11/2019","1","1119"
"AX10991","ENX2092","A100","EMP1012","C1284","4/30/2019","1","1639"
"AX10992","ENX2084","A118","EMP1037","C1330","5/20/2019","3","1783"
"AX10994","ENX2078","A147","EMP1016","C1565","7/4/2019","3","1798"
"AX10995","ENX2047","A172","EMP1017","C1688","3/20/2019","1","290"
"AX11000","ENX2047","A165","EMP1036","C1753","1/11/2019","1","290"
"AX11007","ENX2045","A145","EMP1042","C1685","3/15/2019","1","556"
"AX11009","ENX2031","A151","EMP1008","C1716","7/13/2019","2","1638"
"AX11011","ENX2088","A107","EMP1006","C1258","12/14/2019","1","603"
"AX11013","ENX2087","A129","EMP1039","C1266","8/24/2019","1","1022"
"AX11017","ENX2005","A129","EMP1036","C1708","2/14/2019","1","684"
"AX11018","ENX2083","A161","EMP1025","C1482","9/14/2019","2","2141"
"AX11023","ENX2099","A166","EMP1011","C1512","11/13/2019","4","1367"
"AX11026","ENX2034","A172","EMP1025","C1190","11/2/2019","1","871"
"AX11031","ENX2059","A164","EMP1014","C1202","12/25/2019","1","1494"
"AX11036","ENX2046","A111","EMP1038","C1567","1/31/2019","1","2410"
"AX11037","ENX2028","A147","EMP1037","C1714","2/9/2019","1","2283"
"AX11040","ENX2098","A163","EMP1041","C1063","3/25/2019","3","1178"
"AX11043","ENX2081","A103","EMP1020","C1326","9/15/2019","1","1566"
"AX11046","ENX2059","A137","EMP1021","C1085","6/14/2019","4","1494"
"AX11050","ENX2084","A104","EMP1014","C1345","8/21/2019","3","1783"
"AX11051","ENX2005","A127","EMP1014","C1207","1/2/2019","1","684"
"AX11052","ENX2015","A133","EMP1005","C1106","7/30/2019","2","637"
"AX11061","ENX2078","A148","EMP1027","C1222","7/10/2019","1","1798"
"AX11064","ENX2067","A145","EMP1023","C1080","8/15/2019","2","1119"
"AX11066","ENX2085","A139","EMP1033","C1375","9/16/2019","2","1862"
"AX11070","ENX2062","A123","EMP1018","C1281","10/1/2019","1","2464"
"AX11072","ENX2010","A121","EMP1011","C1240","5/25/2019","1","1812"
"AX11073","ENX2095","A126","EMP1039","C1539","1/29/2019","2","1743"
"AX11077","ENX2089","A123","EMP1017","C1400","5/8/2019","1","2294"
"AX11078","ENX2049","A126","EMP1038","C1249","1/6/2019","1","826"
"AX11080","ENX2094","A143","EMP1042","C1354","4/4/2019","2","771"
"AX11082","ENX2055","A151","EMP1009","C1373","10/8/2019","1","2495"
"AX11087","ENX2038","A173","EMP1041","C1206","9/21/2019","2","392"
"AX11092","ENX2032","A156","EMP1015","C1003","10/28/2019","3","1967"
"AX11095","ENX2011","A136","EMP1011","C1702","4/29/2019","1","530"
"AX11097","ENX2083","A136","EMP1028","C1022","5/1/2019","1","2141"
"AX11098","ENX2057","A109","EMP1004","C1520","12/20/2019","4","181"
"AX11100","ENX2029","A171","EMP1033","C1665","7/15/2019","1","1848"
"AX11102","ENX2063","A113","EMP1003","C1076","1/28/2019","3","1708"
"AX11105","ENX2035","A143","EMP1038","C1420","9/2/2019","2","458"
"AX11108","ENX2091","A148","EMP1010","C1644","6/6/2019","1","368"
"AX11111","ENX2016","A131","EMP1039","C1032","12/14/2019","1","1351"
"AX11112","ENX2050","A106","EMP1027","C1605","9/1/2019","3","2391"
"AX11116","ENX2029","A130","EMP1029","C1709","8/11/2019","1","1848"
"AX11119","ENX2000","A110","EMP1040","C1722","9/17/2019","3","2241"
"AX11120","ENX2067","A123","EMP1025","C1098","1/27/2019","3","1119"
"AX11124","ENX2004","A144","EMP1012","C1791","9/2/2019","1","1278"
"AX11125","ENX2097","A120","EMP1005","C1776","10/7/2019","2","1052"
"AX11130","ENX2017","A133","EMP1034","C1568","1/4/2019","4","35"
"AX11131","ENX2097","A132","EMP1006","C1093","2/11/2019","1","1052"
"AX11136","ENX2027","A137","EMP1023","C1596","12/29/2019","4","2497"
