"Order ID","Product ID","Location ID","Sales Person ID","Customer ID","Purchase Date","Quantity","Price","",""
"AX11086","ENX2055","A142","EMP1040","C1505","3/29/2020","4","2495","",""
"AX11109","ENX2037","A154","EMP1012","C1085","2/4/2020","1","880","",""
"AX11128","ENX2069","A134","EMP1010","C1687","1/1/2020","1","378","",""
"AX11134","ENX2012","A120","EMP1019","C1779","5/30/2020","3","1353","",""
"AX11172","ENX2007","A124","EMP1042","C1308","4/20/2020","1","1405","",""
"AX11175","ENX2033","A129","EMP1038","C1647","2/21/2020","1","2182","",""
"AX11206","ENX2007","A142","EMP1002","C1726","2/6/2020","4","1405","",""
"AX11210","ENX2001","A109","EMP1026","C1237","4/25/2020","1","951","",""
"AX11213","ENX2012","A102","EMP1043","C1477","2/2/2020","2","1353","",""
"AX11222","ENX2092","A153","EMP1005","C1544","4/23/2020","3","1639","",""
"AX11246","ENX2060","A109","EMP1008","C1138","4/9/2020","1","1467","",""
"AX11254","ENX2020","A160","EMP1037","C1796","5/7/2020","1","2005","",""
"AX11258","ENX2091","A149","EMP1041","C1284","2/3/2020","1","368","",""
"AX11261","ENX2077","A131","EMP1036","C1274","2/6/2020","2","530","",""
"AX11282","ENX2005","A102","EMP1018","C1754","5/20/2020","3","684","",""
"AX11285","ENX2088","A127","EMP1033","C1059","1/6/2020","3","603","",""
"AX11289","ENX2007","A111","EMP1019","C1355","5/20/2020","1","1405","",""
"AX11293","ENX2043","A104","EMP1031","C1008","3/23/2020","1","545","",""
"AX11327","ENX2059","A112","EMP1039","C1353","5/22/2020","1","1494","",""
"AX11329","ENX2052","A123","EMP1002","C1311","3/9/2020","3","1526","",""
"AX11330","ENX2047","A134","EMP1025","C1710","3/20/2020","1","290","",""
"AX11368","ENX2071","A103","EMP1011","C1768","3/9/2020","1","136","",""
"AX11370","ENX2031","A173","EMP1022","C1781","3/1/2020","3","1638","",""
"AX11399","ENX2020","A144","EMP1002","C1684","5/6/2020","1","2005","",""
"AX11414","ENX2066","A132","EMP1021","C1269","2/25/2020","1","2091","",""
"AX11421","ENX2000","A166","EMP1012","C1410","1/31/2020","3","2241","",""
"AX11425","ENX2031","A102","EMP1011","C1152","4/2/2020","1","1638","",""
"AX11445","ENX2019","A125","EMP1022","C1048","1/8/2020","1","800","",""
"AX11446","ENX2093","A102","EMP1008","C1743","3/5/2020","1","112","",""
"AX11508","ENX2020","A149","EMP1010","C1237","1/23/2020","1","2005","",""
"AX11511","ENX2028","A157","EMP1040","C1131","4/1/2020","1","2283","",""
"AX11516","ENX2088","A150","EMP1023","C1115","5/6/2020","3","603","",""
"AX11563","ENX2062","A106","EMP1036","C1457","1/8/2020","3","2464","",""
"AX11564","ENX2037","A100","EMP1025","C1080","4/4/2020","2","880","",""
"AX11575","ENX2093","A128","EMP1020","C1359","3/5/2020","1","112","",""
"AX11587","ENX2021","A173","EMP1010","C1138","5/7/2020","2","217","",""
"AX11610","ENX2089","A108","EMP1040","C1189","5/6/2020","4","2294","",""
"AX11617","ENX2085","A124","EMP1013","C1331","1/16/2020","4","1862","",""
"AX11627","ENX2035","A131","EMP1022","C1577","4/23/2020","1","458","",""
"AX11633","ENX2044","A172","EMP1036","C1659","5/13/2020","2","886","",""
"AX11676","ENX2078","A130","EMP1015","C1458","5/16/2020","3","1798","",""
"AX11689","ENX2014","A152","EMP1034","C1542","3/25/2020","1","1809","",""
"AX11713","ENX2051","A120","EMP1003","C1619","4/12/2020","2","1077","",""
"AX11715","ENX2005","A149","EMP1039","C1251","3/12/2020","1","684","",""
"AX11733","ENX2033","A167","EMP1014","C1137","2/15/2020","1","2182","",""
"AX11754","ENX2049","A110","EMP1008","C1368","1/22/2020","1","826","",""
"AX11779","ENX2022","A140","EMP1016","C1800","5/5/2020","1","561","",""
"AX11796","ENX2058","A138","EMP1001","C1440","3/24/2020","3","2257","",""
"AX11797","ENX2092","A135","EMP1036","C1723","4/20/2020","1","1639","",""
"AX11798","ENX2049","A143","EMP1004","C1257","1/10/2020","2","826","",""
"AX11807","ENX2023","A119","EMP1024","C1244","4/10/2020","3","818","",""
"AX11833","ENX2092","A153","EMP1043","C1744","3/23/2020","1","1639","",""
"AX11870","ENX2038","A156","EMP1020","C1374","3/18/2020","1","392","",""
"AX11873","ENX2048","A123","EMP1018","C1406","4/15/2020","1","502","",""
"AX11894","ENX2064","A131","EMP1036","C1303","1/11/2020","4","1414","",""
"AX11947","ENX2000","A111","EMP1001","C1065","3/31/2020","1","2241","",""
"AX11952","ENX2047","A169","EMP1042","C1648","4/23/2020","3","290","",""
"AX11975","ENX2031","A112","EMP1029","C1752","1/5/2020","2","1638","",""
"AX11978","ENX2000","A144","EMP1032","C1073","1/30/2020","1","2241","",""
"AX11987","ENX2086","A161","EMP1010","C1092","1/18/2020","1","123","",""
"AX11995","ENX2076","A159","EMP1036","C1286","5/2/2020","1","1522","",""
"AX12026","ENX2025","A133","EMP1027","C1637","2/9/2020","1","667","",""
"AX12039","ENX2081","A172","EMP1004","C1011","3/15/2020","1","1566","",""
"AX12042","ENX2077","A162","EMP1032","C1367","3/16/2020","3","530","",""
"AX12046","ENX2033","A115","EMP1026","C1120","1/6/2020","1","2182","",""
"AX12060","ENX2076","A135","EMP1037","C1300","4/15/2020","1","1522","",""
"AX12066","ENX2078","A171","EMP1010","C1183","1/16/2020","1","1798","",""
"AX12073","ENX2090","A128","EMP1013","C1475","1/30/2020","1","1338","",""
"AX12111","ENX2029","A122","EMP1027","C1063","4/11/2020","1","1848","",""
"AX12113","ENX2008","A103","EMP1034","C1125","5/16/2020","1","315","",""
"AX12123","ENX2050","A104","EMP1003","C1070","2/26/2020","4","2391","",""
"AX12148","ENX2095","A116","EMP1044","C1359","5/19/2020","2","1743","",""
"AX12155","ENX2064","A135","EMP1019","C1334","1/14/2020","4","1414","",""
"AX12168","ENX2068","A140","EMP1007","C1669","1/16/2020","1","1500","",""
"AX12169","ENX2080","A101","EMP1022","C1784","4/21/2020","1","2353","",""
"AX12182","ENX2008","A163","EMP1010","C1160","2/5/2020","1","315","",""
"AX12207","ENX2003","A125","EMP1017","C1340","2/2/2020","3","1783","",""
"AX12215","ENX2064","A132","EMP1040","C1717","4/28/2020","2","1414","",""
"AX12223","ENX2036","A172","EMP1025","C1724","4/23/2020","1","1582","",""
"AX12235","ENX2057","A106","EMP1015","C1020","2/7/2020","1","181","",""
"AX12253","ENX2061","A115","EMP1044","C1286","2/10/2020","3","913","",""
"AX12261","ENX2050","A157","EMP1043","C1672","4/5/2020","1","2391","",""
"AX12288","ENX2044","A166","EMP1013","C1368","3/9/2020","2","886","",""
"AX12296","ENX2024","A172","EMP1034","C1496","4/9/2020","3","356","",""
"AX12305","ENX2005","A100","EMP1005","C1395","4/13/2020","1","684","",""
"AX12356","ENX2100","A116","EMP1043","C1513","4/5/2020","2","799","",""
"AX12359","ENX2010","A146","EMP1013","C1263","5/20/2020","4","1812","",""
"AX12362","ENX2062","A108","EMP1002","C1640","1/7/2020","1","2464","",""
"AX12369","ENX2008","A113","EMP1036","C1762","2/21/2020","1","315","",""
"AX12380","ENX2039","A124","EMP1031","C1615","3/14/2020","4","817","",""
"AX12391","ENX2039","A116","EMP1016","C1357","1/22/2020","1","817","",""
"AX12418","ENX2007","A118","EMP1000","C1148","2/20/2020","1","1405","",""
"AX12420","ENX2048","A105","EMP1005","C1423","5/28/2020","1","502","",""
"AX12463","ENX2041","A172","EMP1038","C1177","2/8/2020","1","1380","",""
"AX12477","ENX2044","A125","EMP1019","C1035","5/29/2020","1","886","",""
"AX12486","ENX2058","A171","EMP1004","C1368","4/1/2020","3","2257","",""
"AX12497","ENX2018","A111","EMP1024","C1709","5/25/2020","2","1972","",""
"AX12500","ENX2060","A122","EMP1007","C1713","2/2/2020","3","1467","",""
"AX12501","ENX2011","A165","EMP1041","C1015","4/12/2020","3","530","",""
"AX12503","ENX2077","A150","EMP1025","C1267","1/13/2020","1","530","",""
"AX12506","ENX2033","A148","EMP1014","C1775","1/24/2020","4","2182","",""
"AX12511","ENX2078","A161","EMP1008","C1561","1/6/2020","2","1798","",""
"AX12517","ENX2044","A147","EMP1027","C1369","2/9/2020","2","886","",""
"AX12518","ENX2053","A107","EMP1034","C1343","3/2/2020","2","596","",""
"AX12543","ENX2021","A106","EMP1012","C1635","1/28/2020","3","217","",""
"AX12563","ENX2038","A171","EMP1029","C1628","1/25/2020","3","392","",""
"AX12566","ENX2044","A156","EMP1039","C1780","3/14/2020","2","886","",""
"AX12586","ENX2075","A148","EMP1013","C1470","1/26/2020","2","400","",""
"AX12602","ENX2020","A127","EMP1013","C1210","5/11/2020","1","2005","",""
"AX12618","ENX2074","A171","EMP1032","C1220","3/8/2020","4","504","",""
"AX12624","ENX2072","A144","EMP1011","C1064","5/9/2020","4","1887","",""
"AX12626","ENX2033","A116","EMP1042","C1518","4/7/2020","4","2182","",""
"AX12630","ENX2076","A140","EMP1006","C1708","5/21/2020","1","1522","",""
"AX12636","ENX2020","A158","EMP1030","C1032","1/6/2020","3","2005","",""
"AX12639","ENX2084","A117","EMP1036","C1007","5/28/2020","1","1783","",""
"AX12651","ENX2005","A150","EMP1002","C1339","5/5/2020","3","684","",""
"AX12660","ENX2087","A118","EMP1036","C1118","5/23/2020","2","1022","",""
"AX12664","ENX2035","A163","EMP1028","C1524","3/21/2020","4","458","",""
"AX12666","ENX2008","A130","EMP1016","C1647","1/21/2020","4","315","",""
"AX12695","ENX2000","A150","EMP1020","C1071","4/16/2020","4","2241","",""
"AX12711","ENX2089","A166","EMP1001","C1503","3/23/2020","3","2294","",""
"AX12728","ENX2005","A101","EMP1032","C1503","2/23/2020","4","684","",""
"AX12742","ENX2085","A170","EMP1039","C1504","1/17/2020","1","1862","",""
"AX12756","ENX2016","A156","EMP1013","C1221","4/21/2020","2","1351","",""
"AX12758","ENX2029","A126","EMP1029","C1157","5/8/2020","1","1848","",""
"AX12777","ENX2049","A134","EMP1025","C1546","3/2/2020","1","826","",""
"AX12779","ENX2014","A170","EMP1039","C1061","2/6/2020","4","1809","",""
"AX12785","ENX2010","A157","EMP1031","C1526","4/12/2020","1","1812","",""
"AX12827","ENX2045","A148","EMP1016","C1604","2/4/2020","1","556","",""
"AX12840","ENX2007","A135","EMP1037","C1277","5/24/2020","1","1405","",""
"AX12855","ENX2011","A135","EMP1038","C1578","5/3/2020","1","530","",""
"AX12858","ENX2039","A101","EMP1015","C1218","3/21/2020","1","817","",""
"AX12899","ENX2063","A156","EMP1021","C1048","1/28/2020","2","1708","",""
"AX12906","ENX2050","A135","EMP1011","C1123","4/27/2020","2","2391","",""
"AX12912","ENX2049","A129","EMP1027","C1294","3/28/2020","1","826","",""
"AX12923","ENX2100","A129","EMP1010","C1197","5/11/2020","1","799","",""
"AX12947","ENX2088","A142","EMP1027","C1389","3/31/2020","3","603","",""
"AX12986","ENX2062","A147","EMP1006","C1083","3/20/2020","3","2464","",""
"AX12990","ENX2095","A145","EMP1003","C1151","3/29/2020","1","1743","",""
"AX13017","ENX2004","A109","EMP1017","C1575","2/15/2020","4","1278","",""
"AX13024","ENX2060","A125","EMP1021","C1324","1/27/2020","2","1467","",""
"AX13026","ENX2028","A118","EMP1015","C1523","3/3/2020","1","2283","",""
"AX13041","ENX2093","A133","EMP1041","C1670","2/15/2020","1","112","",""
"AX13045","ENX2045","A121","EMP1025","C1210","2/11/2020","2","556","",""
"AX13053","ENX2008","A162","EMP1007","C1224","1/23/2020","1","315","",""
"AX13065","ENX2021","A147","EMP1022","C1618","1/11/2020","4","217","",""
"AX13090","ENX2001","A132","EMP1036","C1454","5/15/2020","1","951","",""
"AX13093","ENX2077","A123","EMP1027","C1560","1/12/2020","3","530","",""
"AX13095","ENX2063","A118","EMP1013","C1800","2/2/2020","2","1708","",""
"AX13096","ENX2031","A104","EMP1034","C1762","4/12/2020","1","1638","",""
"AX13106","ENX2047","A155","EMP1018","C1434","5/7/2020","1","290","",""
"AX13133","ENX2034","A167","EMP1019","C1354","1/16/2020","3","871","",""
"AX13141","ENX2086","A139","EMP1042","C1000","4/26/2020","4","123","",""
"AX13148","ENX2080","A173","EMP1027","C1054","3/2/2020","4","2353","",""
"AX13150","ENX2036","A103","EMP1005","C1386","4/23/2020","3","1582","",""
"AX13155","ENX2040","A147","EMP1021","C1304","2/24/2020","2","1889","",""
"AX13159","ENX2041","A105","EMP1043","C1782","2/18/2020","4","1380","",""
"AX13166","ENX2048","A117","EMP1006","C1716","1/2/2020","1","502","",""
"AX13178","ENX2001","A101","EMP1023","C1106","3/3/2020","1","951","",""
"AX13202","ENX2048","A166","EMP1025","C1613","2/8/2020","1","502","",""
"AX13231","ENX2040","A119","EMP1002","C1366","2/6/2020","1","1889","",""
"AX13237","ENX2035","A148","EMP1018","C1543","4/18/2020","1","458","",""
"AX13242","ENX2036","A146","EMP1011","C1335","1/27/2020","1","1582","",""
"AX13281","ENX2014","A157","EMP1012","C1663","3/30/2020","1","1809","",""
"AX13298","ENX2050","A114","EMP1002","C1658","4/10/2020","1","2391","",""
"AX13300","ENX2043","A165","EMP1005","C1594","3/2/2020","3","545","",""
"AX13315","ENX2047","A157","EMP1014","C1320","3/11/2020","2","290","",""
"AX13337","ENX2049","A140","EMP1039","C1671","5/6/2020","1","826","",""
"AX13350","ENX2018","A170","EMP1034","C1457","4/20/2020","4","1972","",""
"AX13359","ENX2074","A132","EMP1024","C1546","5/26/2020","1","504","",""
"AX13377","ENX2072","A164","EMP1001","C1543","4/14/2020","2","1887","",""
"AX13382","ENX2073","A165","EMP1006","C1780","4/10/2020","1","95","",""
"AX13383","ENX2060","A113","EMP1031","C1732","1/6/2020","1","1467","",""
"AX13404","ENX2058","A157","EMP1026","C1660","5/26/2020","1","2257","",""
"AX13412","ENX2077","A132","EMP1021","C1706","2/5/2020","1","530","",""
"AX13445","ENX2085","A152","EMP1000","C1323","4/12/2020","4","1862","",""
"AX13447","ENX2021","A127","EMP1040","C1046","2/16/2020","1","217","",""
"AX13450","ENX2055","A132","EMP1024","C1354","3/16/2020","3","2495","",""
"AX13454","ENX2083","A140","EMP1034","C1480","5/9/2020","1","2141","",""
"AX13462","ENX2051","A169","EMP1039","C1563","3/8/2020","2","1077","",""
"AX13463","ENX2065","A164","EMP1004","C1322","2/28/2020","1","2396","",""
"AX13469","ENX2080","A148","EMP1043","C1065","2/24/2020","1","2353","",""
"AX13484","ENX2064","A127","EMP1023","C1385","2/2/2020","2","1414","",""
"AX13490","ENX2097","A111","EMP1013","C1647","4/27/2020","1","1052","",""
"AX13493","ENX2030","A159","EMP1033","C1664","3/4/2020","1","1899","",""
"AX13495","ENX2033","A105","EMP1013","C1743","3/7/2020","1","2182","",""
"AX13529","ENX2064","A114","EMP1021","C1047","4/20/2020","3","1414","",""
"AX13545","ENX2098","A117","EMP1028","C1001","2/4/2020","1","1178","",""
"AX13549","ENX2096","A105","EMP1031","C1539","2/15/2020","1","1587","",""
"AX13559","ENX2079","A126","EMP1032","C1488","2/20/2020","2","1725","",""
"AX13595","ENX2045","A160","EMP1042","C1327","4/9/2020","1","556","",""
"AX13614","ENX2004","A124","EMP1036","C1360","5/10/2020","3","1278","",""
"AX13630","ENX2013","A116","EMP1025","C1640","3/2/2020","2","368","",""
"AX13644","ENX2020","A162","EMP1013","C1451","2/10/2020","4","2005","",""
"AX13669","ENX2083","A126","EMP1036","C1264","3/1/2020","1","2141","",""
"AX13692","ENX2001","A125","EMP1007","C1476","2/11/2020","3","951","",""
"AX13695","ENX2061","A155","EMP1009","C1506","3/17/2020","3","913","",""
"AX13696","ENX2094","A150","EMP1016","C1030","2/1/2020","1","771","",""
"AX13700","ENX2042","A101","EMP1012","C1459","1/15/2020","3","203","",""
"AX13709","ENX2086","A159","EMP1018","C1777","5/8/2020","3","123","",""
"AX13717","ENX2055","A155","EMP1009","C1454","5/30/2020","1","2495","",""
"AX13724","ENX2018","A115","EMP1005","C1573","2/12/2020","2","1972","",""
"AX13755","ENX2054","A168","EMP1016","C1647","3/10/2020","1","127","",""
"AX13768","ENX2001","A116","EMP1013","C1372","2/14/2020","1","951","",""
"AX13833","ENX2079","A120","EMP1012","C1490","2/24/2020","4","1725","",""
"AX13862","ENX2097","A123","EMP1036","C1038","2/28/2020","1","1052","",""
"AX13881","ENX2036","A116","EMP1018","C1672","5/4/2020","1","1582","",""
"AX13940","ENX2066","A136","EMP1039","C1110","2/26/2020","1","2091","",""
"AX14002","ENX2050","A129","EMP1039","C1365","5/4/2020","1","2391","",""
"AX14013","ENX2083","A139","EMP1021","C1111","1/17/2020","1","2141","",""
"AX14026","ENX2022","A115","EMP1017","C1118","3/19/2020","1","561","",""
"AX14040","ENX2053","A160","EMP1030","C1560","5/24/2020","4","596","",""
"AX14048","ENX2079","A145","EMP1001","C1792","2/26/2020","4","1725","",""
"AX14050","ENX2056","A165","EMP1043","C1432","5/8/2020","3","1635","",""
"AX14052","ENX2067","A139","EMP1030","C1697","2/29/2020","1","1119","",""
"AX14097","ENX2054","A137","EMP1026","C1125","2/8/2020","3","127","",""
"AX14141","ENX2080","A173","EMP1028","C1254","5/16/2020","4","2353","",""
"AX14178","ENX2095","A114","EMP1023","C1253","2/3/2020","2","1743","",""
"AX14183","ENX2041","A156","EMP1016","C1257","4/16/2020","1","1380","",""
"AX14198","ENX2002","A149","EMP1037","C1032","2/26/2020","1","847","",""
"AX14212","ENX2019","A124","EMP1014","C1551","4/14/2020","1","800","",""
"AX14219","ENX2093","A126","EMP1024","C1279","4/10/2020","2","112","",""
"AX14234","ENX2062","A166","EMP1025","C1596","1/20/2020","2","2464","",""
"AX14243","ENX2064","A140","EMP1004","C1166","1/5/2020","3","1414","",""
"AX14244","ENX2027","A163","EMP1014","C1304","1/20/2020","3","2497","",""
"AX14246","ENX2050","A121","EMP1040","C1526","2/28/2020","1","2391","",""
"AX14253","ENX2009","A158","EMP1026","C1166","1/25/2020","1","584","",""
"AX14304","ENX2002","A138","EMP1027","C1264","4/3/2020","1","847","",""
"AX14311","ENX2050","A157","EMP1001","C1017","4/2/2020","4","2391","",""
"AX14349","ENX2067","A171","EMP1038","C1512","3/10/2020","1","1119","",""
"AX14359","ENX2074","A118","EMP1029","C1695","4/3/2020","1","504","",""
"AX14384","ENX2085","A123","EMP1015","C1442","3/6/2020","1","1862","",""
"AX14418","ENX2020","A109","EMP1004","C1687","4/30/2020","1","2005","",""
"AX14426","ENX2090","A102","EMP1025","C1388","2/4/2020","1","1338","",""
"AX14474","ENX2021","A132","EMP1019","C1014","3/23/2020","3","217","",""
"AX14480","ENX2088","A119","EMP1039","C1446","2/2/2020","1","603","",""
"AX14481","ENX2048","A173","EMP1026","C1629","1/8/2020","3","502","",""
"AX14485","ENX2008","A134","EMP1013","C1223","5/24/2020","3","315","",""
"AX14509","ENX2008","A103","EMP1011","C1468","2/3/2020","4","315","",""
"AX14512","ENX2025","A129","EMP1023","C1525","5/16/2020","2","667","",""
"AX14539","ENX2098","A114","EMP1013","C1098","1/16/2020","2","1178","",""
"AX14548","ENX2026","A166","EMP1020","C1136","4/14/2020","1","947","",""
"AX14594","ENX2014","A145","EMP1039","C1607","3/21/2020","1","1809","",""
"AX14609","ENX2093","A127","EMP1024","C1303","4/7/2020","2","112","",""
"AX14618","ENX2051","A113","EMP1003","C1673","1/12/2020","3","1077","",""
"AX14628","ENX2030","A117","EMP1022","C1662","3/7/2020","1","1899","",""
"AX14636","ENX2025","A108","EMP1034","C1375","3/23/2020","1","667","",""
"AX14638","ENX2058","A154","EMP1011","C1342","1/12/2020","2","2257","",""
"AX14661","ENX2093","A140","EMP1002","C1499","4/3/2020","1","112","",""
"AX14688","ENX2060","A167","EMP1014","C1792","3/21/2020","1","1467","",""
"AX14705","ENX2051","A159","EMP1035","C1134","2/18/2020","3","1077","",""
"AX14731","ENX2053","A121","EMP1014","C1464","5/5/2020","3","596","",""
"AX14778","ENX2058","A137","EMP1029","C1458","3/2/2020","1","2257","",""
"AX14801","ENX2035","A165","EMP1023","C1752","2/13/2020","1","458","",""
"AX14812","ENX2066","A158","EMP1010","C1129","5/29/2020","2","2091","",""
"AX14823","ENX2049","A145","EMP1032","C1543","2/15/2020","2","826","",""
"AX14826","ENX2082","A165","EMP1029","C1630","5/2/2020","3","1103","",""
"AX14872","ENX2060","A138","EMP1029","C1077","5/10/2020","1","1467","",""
"AX14899","ENX2089","A112","EMP1025","C1215","1/16/2020","2","2294","",""
"AX14908","ENX2002","A160","EMP1044","C1763","4/9/2020","3","847","",""
"AX14911","ENX2003","A123","EMP1021","C1306","5/14/2020","4","1783","",""
"AX14934","ENX2037","A149","EMP1000","C1567","3/8/2020","3","880","",""
"AX14969","ENX2074","A105","EMP1011","C1190","1/30/2020","3","504","",""
"AX15007","ENX2005","A141","EMP1041","C1431","1/19/2020","1","684","",""
"AX15017","ENX2080","A163","EMP1006","C1252","3/22/2020","2","2353","",""
"AX15031","ENX2091","A147","EMP1005","C1165","4/1/2020","2","368","",""
"AX15037","ENX2073","A162","EMP1037","C1145","4/1/2020","1","95","",""
"AX15052","ENX2030","A159","EMP1042","C1499","3/11/2020","4","1899","",""
"AX15104","ENX2017","A117","EMP1041","C1383","1/2/2020","1","35","",""
"AX15120","ENX2074","A144","EMP1039","C1673","5/23/2020","1","504","",""
"AX15121","ENX2038","A105","EMP1025","C1532","3/28/2020","2","392","",""
"AX15143","ENX2059","A146","EMP1004","C1524","4/29/2020","4","1494","",""
